out_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
tas,mon,K,Near-Surface Air Temperature,air_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
tas,day,K,Near-Surface Air Temperature,air_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
tas,1hr,K,Near-Surface Air Temperature,air_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
tasmax,mon,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,
tasmax,day,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height2m,real,,,,,
tasmax,1hr,K,Daily Maximum Near-Surface Air Temperature,air_temperature,CORE,maximum from all integrated time steps per day,area: mean time: maximum,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,mon,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum within days time: mean over days,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,day,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum,area: areacella,longitude latitude time height2m,real,,,,,
tasmin,1hr,K,Daily Minimum Near-Surface Air Temperature,air_temperature,CORE,minimum from all integrated time steps per day,area: mean time: minimum,area: areacella,longitude latitude time height2m,real,,,,,
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsbl,mon,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsbl,day,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
evspsbl,1hr,kg m-2 s-1,Evaporation Including Sublimation and Transpiration,water_evapotranspiration_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
huss,mon,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
huss,day,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
huss,1hr,1,Near-Surface Specific Humidity,specific_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
hurs,mon,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
hurs,day,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
hurs,1hr,%,Near-Surface Relative Humidity,relative_humidity,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ps,day,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: time: mean,area: areacella,longitude latitude time height10m,real,,,,,
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,CORE,,area: mean time: point,area: areacella,longitude latitude time1 height10m,real,,,,,
clt,mon,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clt,day,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
clt,1hr,%,Total Cloud Cover Percentage,cloud_area_fraction,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,CORE,,area: time: mean,area: areacella,longitude latitude time,real,down,,,,
hfls,mon,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfls,day,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfls,1hr,W m-2,Surface Upward Latent Heat Flux,surface_upward_latent_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,mon,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,day,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
hfss,1hr,W m-2,Surface Upward Sensible Heat Flux,surface_upward_sensible_heat_flux,CORE,,area: time: mean,area: areacella,longitude latitude time,real,up,,,,
ts,mon,K,Surface Temperature,surface_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ts,day,K,Surface Temperature,surface_temperature,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
ts,1hr,K,Surface Temperature,surface_temperature,CORE,,area: mean time: point,area: areacella,longitude latitude time1,real,,,,,
z0,mon,m,Surface Roughness Length,surface_roughness_length,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
z0,day,m,Surface Roughness Length,surface_roughness_length,CORE,,area: time: mean,area: areacella,longitude latitude time,real,,,,,
orog,fx,m,Surface Altitude,surface_altitude,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,CORE,,area: mean,area: areacella,longitude latitude,real,,,,,
